,en,lat,lng
86,Chinese Blackbird,33.36568,120.15232
87,Chinese Blackbird,30.11052,120.04843
88,Chinese Blackbird,22.558064,114.03415
89,Chinese Blackbird,31.140799,121.43756
90,Chinese Blackbird,31.058327,121.49599
91,Chinese Blackbird,30.31767,120.12476
92,Chinese Blackbird,30.693514,114.3969
93,Chinese Blackbird,30.648973,114.30848
94,Chinese Blackbird,38.019394,114.53397
95,Chinese Blackbird,31.23919,121.34463
96,Chinese Blackbird,32.875427,120.96796
97,Chinese Blackbird,39.919716,116.423706
98,Chinese Blackbird,26.367727,106.44163
99,Chinese Blackbird,40.00291,116.3266
100,Chinese Blackbird,31.415094,120.89754
101,Chinese Blackbird,34.217514,108.92853
102,Chinese Blackbird,26.447598,106.67772
103,Chinese Blackbird,39.997467,116.2734
104,Chinese Blackbird,39.993362,116.310196
105,Chinese Blackbird,30.269602,120.19309
106,Chinese Blackbird,24.57625,118.07067
107,Chinese Blackbird,31.321577,120.318054
108,Chinese Blackbird,39.99869,116.206856
109,Chinese Blackbird,26.510353,106.647385
110,Chinese Blackbird,27.826721,121.1492
111,Chinese Blackbird,31.389969,120.81122
112,Chinese Blackbird,30.265434,120.123085
113,Chinese Blackbird,23.016626,113.77776
114,Chinese Blackbird,22.947737,113.30737
115,Chinese Blackbird,22.572905,113.90371
116,Chinese Blackbird,31.929796,120.116905
117,Chinese Blackbird,22.531145,113.36596
118,Chinese Blackbird,32.46096,119.92416
119,Chinese Blackbird,38.004776,114.34395
120,Chinese Blackbird,31.21667,121.52864
121,Chinese Blackbird,31.841919,120.83312
122,Chinese Blackbird,30.304478,120.08615
123,Chinese Blackbird,23.89881,106.63334
124,Chinese Blackbird,39.866215,116.747856
125,Chinese Blackbird,30.961916,121.302315
126,Chinese Blackbird,30.09489,122.265724
127,Chinese Blackbird,39.92629,116.49152
128,Chinese Blackbird,32.424973,120.17022
129,Chinese Blackbird,33.300697,119.93526
130,Chinese Blackbird,30.642256,104.17906
131,Chinese Blackbird,29.427872,118.5583
132,Chinese Blackbird,29.536919,119.06825
133,Chinese Blackbird,29.580593,118.97636
134,Chinese Blackbird,29.559925,119.12599
135,Chinese Blackbird,27.991245,116.34855
136,Chinese Blackbird,30.812597,121.488304
137,Chinese Blackbird,39.813812,116.434326
138,Chinese Blackbird,31.303265,121.35604
139,Chinese Blackbird,31.23457,120.566795
140,Chinese Blackbird,31.800589,120.81192
141,Chinese Blackbird,31.1478,121.4389
142,Chinese Blackbird,31.703579,119.92955
143,Chinese Blackbird,28.046783,116.4621
144,Chinese Blackbird,30.817888,121.517784
145,Chinese Blackbird,29.699018,121.61353
146,Chinese Blackbird,32.051613,120.2062
147,Chinese Blackbird,31.128164,119.85458
148,Chinese Blackbird,31.090136,121.37213
149,Chinese Blackbird,31.31304,121.35935
150,Chinese Blackbird,31.577612,120.27488
151,Chinese Blackbird,31.077246,121.18017
152,Chinese Blackbird,33.141155,107.06362
153,Chinese Blackbird,30.898304,121.942055
154,Chinese Blackbird,31.603987,120.73946
155,Chinese Blackbird,39.087227,117.1681
156,Chinese Blackbird,34.480644,110.06114
157,Chinese Blackbird,30.1821,120.11113
158,Chinese Blackbird,39.111816,117.12173
159,Chinese Blackbird,31.031982,120.41495
160,Chinese Blackbird,30.375355,120.61364
161,Chinese Blackbird,39.05058,117.21393
162,Chinese Blackbird,30.15225,120.13549
163,Chinese Blackbird,31.293343,120.69471
164,Chinese Blackbird,30.24431,119.99249
165,Chinese Blackbird,29.750084,120.22081
166,Chinese Blackbird,30.263409,120.020744
167,Chinese Blackbird,31.749743,121.25307
168,Chinese Blackbird,39.892647,124.13476
169,Chinese Blackbird,30.103945,120.056465
170,Chinese Blackbird,39.953182,116.577
171,Chinese Blackbird,29.743761,120.191086
172,Chinese Blackbird,31.72238,121.23817
173,Chinese Blackbird,31.28663,120.77842
174,Chinese Blackbird,31.407953,120.89579
175,Chinese Blackbird,31.844732,120.82819
176,Chinese Blackbird,31.706177,121.25812
177,Chinese Blackbird,40.40243,115.853096
178,Chinese Blackbird,40.12833,116.335396
179,Chinese Blackbird,31.836178,120.83089
180,Chinese Blackbird,34.599506,119.188736
181,Chinese Blackbird,31.250956,121.440895
